Date,fire_rune
2008-05-20,9
2008-05-21,9
2008-05-22,9
2008-05-23,9
2008-05-24,9
2008-05-25,9
2008-05-26,9
2008-05-27,9
2008-05-28,9
2008-05-29,9
2008-05-30,9
2008-05-31,9
2008-06-01,9
2008-06-02,9
2008-06-03,9
2008-06-04,9
2008-06-05,9
2008-06-06,9
2008-06-07,9
2008-06-08,9
2008-06-09,9
2008-06-10,9
2008-06-11,9
2008-06-12,9
2008-06-13,9
2008-06-14,9
2008-06-15,9
2008-06-16,9
2008-06-17,9
2008-06-18,9
2008-06-19,9
2008-06-20,9
2008-06-21,9
2008-06-22,9
2008-06-23,9
2008-06-24,9
2008-06-25,9
2008-06-26,9
2008-06-27,9
2008-06-28,9
2008-06-29,9
2008-06-30,9
2008-07-01,9
2008-07-02,9
2008-07-03,9
2008-07-04,9
2008-07-05,9
2008-07-06,9
2008-07-07,9
2008-07-08,9
2008-07-09,9
2008-07-10,9
2008-07-11,9
2008-07-12,9
2008-07-13,9
2008-07-14,9
2008-07-15,9
2008-07-16,9
2008-07-17,9
2008-07-18,9
2008-07-19,9
2008-07-20,9
2008-07-21,9
2008-07-22,9
2008-07-23,9
2008-07-24,9
2008-07-25,9
2008-07-26,9
2008-07-27,9
2008-07-28,9
2008-07-29,9
2008-07-30,9
2008-07-31,9
2008-08-01,9
2008-08-02,9
2008-08-03,9
2008-08-04,9
2008-08-05,9
2008-08-06,9
2008-08-07,9
2008-08-08,9
2008-08-09,9
2008-08-10,9
2008-08-11,9
2008-08-12,9
2008-08-13,9
2008-08-14,9
2008-08-15,9
2008-08-16,9
2008-08-17,9
2008-08-18,9
2008-08-19,9
2008-08-20,9
2008-08-21,9
2008-08-22,9
2008-08-23,9
2008-08-24,9
2008-08-25,9
2008-08-26,9
2008-08-27,9
2008-08-28,9
2008-08-29,9
2008-08-30,9
2008-08-31,9
2008-09-01,9
2008-09-02,9
2008-09-03,9
2008-09-04,9
2008-09-05,9
2008-09-06,9
2008-09-07,9
2008-09-08,9
2008-09-09,9
2008-09-10,9
2008-09-11,9
2008-09-12,9
2008-09-13,9
2008-09-14,9
2008-09-15,9
2008-09-16,9
2008-09-17,9
2008-09-18,9
2008-09-19,9
2008-09-20,9
2008-09-21,9
2008-09-22,9
2008-09-23,9
2008-09-24,9
2008-09-25,9
2008-09-26,9
2008-09-27,9
2008-09-28,9
2008-09-29,9
2008-09-30,9
2008-10-01,9
2008-10-02,9
2008-10-03,9
2008-10-04,9
2008-10-05,9
2008-10-06,9
2008-10-07,9
2008-10-08,9
2008-10-09,9
2008-10-10,9
2008-10-11,9
2008-10-12,9
2008-10-13,9
2008-10-14,9
2008-10-15,9
2008-10-16,9
2008-10-17,9
2008-10-18,9
2008-10-19,9
2008-10-20,9
2008-10-21,9
2008-10-22,9
2008-10-23,9
2008-10-24,9
2008-10-25,9
2008-10-26,9
2008-10-27,9
2008-10-28,9
2008-10-29,9
2008-10-30,9
2008-10-31,9
2008-11-01,9
2008-11-02,9
2008-11-03,9
2008-11-04,9
2008-11-05,9
2008-11-06,9
2008-11-07,9
2008-11-08,9
2008-11-09,9
2008-11-10,9
2008-11-11,9
2008-11-12,9
2008-11-13,9
2008-11-14,9
2008-11-15,9
2008-11-16,9
2008-11-17,9
2008-11-18,9
2008-11-19,9
2008-11-20,9
2008-11-21,9
2008-11-22,9
2008-11-23,9
2008-11-24,9
2008-11-25,9
2008-11-26,9
2008-11-27,9
2008-11-28,9
2008-11-29,9
2008-11-30,9
2008-12-01,9
2008-12-02,9
2008-12-03,9
2008-12-04,9
2008-12-05,9
2008-12-06,9
2008-12-07,9
2008-12-08,9
2008-12-09,9
2008-12-10,9
2008-12-11,9
2008-12-12,9
2008-12-13,9
2008-12-14,9
2008-12-15,9
2008-12-16,9
2008-12-17,9
2008-12-18,9
2008-12-19,9
2008-12-20,9
2008-12-21,9
2008-12-22,9
2008-12-23,9
2008-12-24,9
2008-12-25,9
2008-12-26,9
2008-12-27,9
2008-12-28,9
2008-12-29,9
2008-12-30,9
2008-12-31,9
2009-01-01,9
2009-01-02,9
2009-01-03,9
2009-01-04,9
2009-01-05,9
2009-01-06,9
2009-01-07,9
2009-01-08,9
2009-01-09,9
2009-01-10,9
2009-01-11,9
2009-01-12,9
2009-01-13,9
2009-01-14,9
2009-01-15,9
2009-01-16,9
2009-01-17,9
2009-01-18,9
2009-01-19,9
2009-01-20,9
2009-01-21,9
2009-01-22,9
2009-01-23,9
2009-01-24,9
2009-01-25,9
2009-01-26,9
2009-01-27,9
2009-01-28,9
2009-01-29,9
2009-01-30,9
2009-01-31,9
2009-02-01,9
2009-02-02,9
2009-02-03,9
2009-02-04,9
2009-02-05,9
2009-02-06,9
2009-02-07,9
2009-02-08,9
2009-02-09,9
2009-02-10,9
2009-02-11,9
2009-02-12,9
2009-02-13,9
2009-02-14,9
2009-02-15,9
2009-02-16,9
2009-02-17,9
2009-02-18,9
2009-02-19,9
2009-02-20,9
2009-02-21,9
2009-02-22,9
2009-02-23,9
2009-02-24,9
2009-02-25,9
2009-02-26,9
2009-02-27,9
2009-02-28,9
2009-03-01,9
2009-03-02,9
2009-03-03,9
2009-03-04,9
2009-03-05,9
2009-03-06,9
2009-03-07,9
2009-03-08,9
2009-03-09,9
2009-03-10,9
2009-03-11,9
2009-03-12,9
2009-03-13,9
2009-03-14,9
2009-03-15,9
2009-03-16,9
2009-03-17,9
2009-03-18,9
2009-03-19,9
2009-03-20,9
2009-03-21,9
2009-03-22,9
2009-03-23,9
2009-03-24,9
2009-03-25,9
2009-03-26,9
2009-03-27,9
2009-03-28,9
2009-03-29,9
2009-03-30,9
2009-03-31,9
2009-04-01,9
2009-04-02,9
2009-04-03,9
2009-04-04,9
2009-04-05,9
2009-04-06,9
2009-04-07,9
2009-04-08,9
2009-04-09,9
2009-04-10,9
2009-04-11,9
2009-04-12,9
2009-04-13,9
2009-04-14,9
2009-04-15,9
2009-04-16,9
2009-04-17,9
2009-04-18,9
2009-04-19,9
2009-04-20,9
2009-04-21,9
2009-04-22,9
2009-04-23,9
2009-04-24,9
2009-04-25,9
2009-04-26,9
2009-04-27,9
2009-04-28,9
2009-04-29,9
2009-04-30,9
2009-05-01,9
2009-05-02,9
2009-05-03,9
2009-05-04,9
2009-05-05,9
2009-05-06,9
2009-05-07,9
2009-05-08,9
2009-05-09,9
2009-05-10,9
2009-05-11,9
2009-05-12,9
2009-05-13,9
2009-05-14,9
2009-05-15,9
2009-05-16,9
2009-05-17,9
2009-05-18,9
2009-05-19,9
2009-05-20,9
2009-05-21,9
2009-05-22,9
2009-05-23,9
2009-05-24,9
2009-05-25,9
2009-05-26,9
2009-05-27,9
2009-05-28,9
2009-05-29,9
2009-05-30,9
2009-05-31,9
2009-06-01,9
2009-06-02,9
2009-06-03,9
2009-06-04,9
2009-06-05,9
2009-06-06,9
2009-06-07,9
2009-06-08,9
2009-06-09,9
2009-06-10,9
2009-06-11,9
2009-06-12,9
2009-06-13,9
2009-06-14,9
2009-06-15,9
2009-06-16,9
2009-06-17,9
2009-06-18,9
2009-06-19,9
2009-06-20,9
2009-06-21,9
2009-06-22,9
2009-06-23,9
2009-06-24,9
2009-06-25,9
2009-06-26,9
2009-06-27,9
2009-06-28,9
2009-06-29,9
2009-06-30,9
2009-07-01,9
2009-07-03,9
2009-07-04,9
2009-07-05,9
2009-07-06,9
2009-07-07,9
2009-07-08,9
2009-07-09,9
2009-07-10,9
2009-07-11,9
2009-07-12,9
2009-07-13,9
2009-07-14,9
2009-07-15,9
2009-07-16,9
2009-07-17,9
2009-07-18,9
2009-07-19,9
2009-07-20,9
2009-07-21,9
2009-07-22,9
2009-07-23,9
2009-07-24,9
2009-07-25,9
2009-07-26,9
2009-07-27,9
2009-07-28,9
2009-07-29,9
2009-07-30,9
2009-07-31,9
2009-08-01,9
2009-08-02,9
2009-08-03,9
2009-08-04,9
2009-08-05,9
2009-08-06,9
2009-08-07,9
2009-08-08,9
2009-08-09,9
2009-08-10,9
2009-08-11,9
2009-08-12,9
2009-08-13,9
2009-08-14,9
2009-08-15,9
2009-08-16,9
2009-08-17,9
2009-08-18,9
2009-08-19,9
2009-08-20,9
2009-08-21,9
2009-08-22,9
2009-08-23,9
2009-08-24,9
2009-08-25,9
2009-08-26,9
2009-08-27,9
2009-08-28,9
2009-08-29,9
2009-08-30,9
2009-08-31,9
2009-09-01,9
2009-09-02,8
2009-09-03,6
2009-09-04,5
2009-09-05,6
2009-09-06,7
2009-09-07,7
2009-09-08,7
2009-09-09,7
2009-09-10,7
2009-09-11,7
2009-09-12,7
2009-09-13,7
2009-09-14,7
2009-09-15,7
2009-09-16,7
2009-09-17,7
2009-09-18,7
2009-09-19,7
2009-09-20,7
2009-09-21,7
2009-09-22,7
2009-09-23,6
2009-09-24,6
2009-09-25,7
2009-09-26,7
2009-09-27,7
2009-09-28,6
2009-09-29,6
2009-09-30,7
2009-10-01,7
2009-10-02,7
2009-10-03,7
2009-10-04,7
2009-10-05,6
2009-10-06,6
2009-10-07,6
2009-10-08,6
2009-10-09,6
2009-10-10,6
2009-10-11,7
2009-10-12,6
2009-10-13,6
2009-10-14,6
2009-10-15,6
2009-10-16,6
2009-10-17,6
2009-10-18,7
2009-10-19,6
2009-10-20,6
2009-10-21,6
2009-10-22,6
2009-10-23,6
2009-10-24,6
2009-10-25,7
2009-10-26,6
2009-10-27,6
2009-10-28,6
2009-10-29,6
2009-10-30,6
2009-10-31,6
2009-11-01,6
2009-11-02,6
2009-11-03,6
2009-11-04,6
2009-11-05,6
2009-11-06,6
2009-11-07,6
2009-11-08,6
2009-11-09,6
2009-11-10,6
2009-11-11,6
2009-11-12,6
2009-11-13,6
2009-11-14,6
2009-11-15,7
2009-11-16,6
2009-11-17,6
2009-11-18,6
2009-11-19,6
2009-11-20,6
2009-11-21,7
2009-11-22,7
2009-11-23,6
2009-11-24,6
2009-11-25,6
2009-11-26,6
2009-11-27,6
2009-11-28,7
2009-11-29,7
